name	2019-01	2019-02	2019-05	2019-6	2019-7	2019-8	2019-09	2019-10	2019-11	2019-12
Andy	0	0	0	0	1	12	320	120	139	38
Belsnickel	0	0	0	0	0	1	39	45	48	11
Blonde Dwight	0	0	0	0	0	0	102	53	39	3
Darryl	0	1	1	1	12	19	20	23	60	14
Date Mike	0	0	0	0	0	10	6	3	164	23
Dwight Bobble	0	0	0	0	0	0	6	75	31	4
Dwight Elf	1	0	0	0	0	3	42	47	59	9
Hay King	0	0	0	0	1	26	114	138	139	19
Jim Chase	0	3	0	0	15	26	116	106	109	42
Jim Golden Face	0	0	0	0	1	3	89	32	37	10
Jim Hole	0	0	0	0	0	22	60	68	56	10
Kevin	0	0	1	0	10	14	27	29	58	17
Michael Santa	0	0	0	0	0	2	51	45	67	7
Pam	0	2	1	0	6	21	25	30	59	14
Prison Mike	0	0	0	3	0	51	104	83	87	55